Key,ja,en,ko,zh-CN,zh-TW
Func/DanceController/Detail,ダンスワールドで表情が動く。依存：Emo,Expressions move in the dance world. Dependencies: Emo,댄스 월드에서 표정이 움직입니다. 의존: Emo,舞蹈世界中的表情移动。依赖：Emo,舞蹈世界中的表情移動。依賴：Emo
Func/Emo/Detail,他ツール連携用,For integration with other tools,다른 도구와의 통합용,用于与其他工具集成,用於與其他工具集成
Func/Explore/Detail,どこからでも見えるピン、ライト、軌跡表示。,Visible pins lights and trails from anywhere,어디서나 보이는 핀 라이트 궤적 표시,从任何地方都能看到的针 灯 和轨迹,從任何地方都能看到的針 燈 和軌跡
Func/Hoppe/Detail,触れるようにし、頬紅を表示する。依存：Emo,Make touchable and display blush Dependencies: Emo,터치할 수 있게 하고 볼에 홍조를 표시합니다. 의존: Emo,使可触摸并显示脸红。依赖：Emo,使可觸摸並顯示臉紅。依賴：Emo
Func/Ico/Detail,アイコンを表示。依存：Link,Display icons Dependencies: Link,아이콘을 표시합니다. 의존: Link,显示图标。依赖：Link,顯示圖標。依賴：Link
Func/MakeEmo/Detail,目・口・その他をそれぞれ調整し、固定する。依存：Emo,Adjust and fix eyes mouth etc. Dependencies: Emo,눈 입 등을 조정하고 고정합니다. 의존: Emo,调整和固定眼睛 嘴巴等。依赖：Emo,調整和固定眼睛 嘴巴等。依賴：Emo
Func/MeshSetting/Detail,明るさなどを自動で調整する。,Automatically adjust brightness etc.,밝기 등을 자동으로 조정합니다.,自动调整亮度等.,自動調整亮度等.
Func/Move/Detail,浮遊・高速移動・持続移動,Floating fast movement sustained movement,부유 고속 이동 지속 이동,漂浮 快速移动 持续移动,漂浮 快速移動 持續移動
Func/Onaka/Detail,やわらかくなり、触ることができる。,Becomes soft and touchable,부드러워지고 터치할 수 있습니다.,变得柔软且可触摸,變得柔軟且可觸摸
Func/Pen/Detail,どこでも描ける,Can draw anywhere,어디서나 그릴 수 있습니다.,可以在任何地方绘画,可以在任何地方繪畫
Func/PoseClipper/Detail,アバターを現在の姿勢のまま固定する,Fix avatar in current pose,아바타를 현재 포즈로 고정합니다.,将头像固定在当前姿势,將頭像固定在當前姿勢
Func/Sleep/Detail,3点トラッキング・デスクトップで横になる。依存：PoseClipper,Lay down with 3-point tracking desktop etc. Dependencies: PoseClipper,3점 트래킹 데스크탑 등에서 눕습니다. 의존: PoseClipper,进行三点跟踪 在桌面上躺下等。依赖：PoseClipper,進行三點跟蹤 在桌面上躺下等。依賴：PoseClipper
Func/Tail/Detail,大きさ変更、ゆらす。,Change size and sway,크기 변경 흔들기,改变大小和摇摆,改變大小和搖擺
Func/Link/Detail,他ツール連携用,For integration with other tools,다른 도구와의 통합용,用于与其他工具集成,用於與其他工具集成
Func/Sync/Detail,他ツール連携用,For integration with other tools,다른 도구와의 통합용,用于与其他工具集成,用於與其他工具集成

FlatsPlus_Progress,FlatsPlus 作業中,FlatsPlus in progress,FlatsPlus 작업 중,FlatsPlus 进行中,FlatsPlus 進行中
